tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
ztf,60867.37122689979,3113371224715015002,1,3113371224715,19.196169,1,3113,2.2563372,17.025656,17.0407,0.041103337,0.0481,331.0585358,-1.9974804,0.94142854,t17_f5_c3,0.9999976,17.0739,0.0633,443120147.0,True,False,False,27.5.6,0.0,
ztf,60867.3721758998,3113372174715015000,1,3113372174715,19.23079,1,3113,2.289431,17.009258,17.023,0.048521288,0.0474,331.0585177,-1.9974716,0.9342857,t17_f5_c3,0.99994355,17.0007,0.0593,443120147.0,True,False,False,27.5.6,0.0,
ztf,60867.37930560019,3113379304715015007,3,3113379304715,19.44625,1,3113,2.3154144,17.806715,17.7079,0.06495482,0.0873,331.0585338,-1.9974716,0.9185714,t17_f5_c3,0.99999714,17.6592,0.1053,443120347.0,True,False,False,27.5.6,0.0,
ztf,60868.40944440011,3114409444715015003,2,3114409444715,19.429386,1,3114,2.1769257,17.119484,17.1797,0.03986553,0.0507,331.0585261,-1.9974831,0.92142856,t17_f5_c3,0.99999785,17.1898,0.065,443120247.0,True,False,False,27.5.6,0.0,
ztf,60868.41040509986,3114410404715015003,2,3114410404715,19.380257,1,3114,2.164783,17.172949,17.19,0.044922456,0.0504,331.0585264,-1.9974779,0.92714286,t17_f5_c3,0.9999999,17.2183,0.0657,443120247.0,True,False,False,27.5.6,0.0,
ztf,60868.42168979999,3114421684715015002,1,3114421684715,19.215498,1,3114,2.1932025,17.04907,17.0677,0.044016235,0.0478,331.0585585,-1.9974806,0.9357143,t17_f5_c3,0.999984,17.0724,0.0613,443120147.0,True,False,False,27.5.6,0.0,
ztf,60868.4603587999,3114460354715015003,3,3114460354715,19.145508,1,3114,2.3805454,17.853172,17.8942,0.07320748,0.1216,331.0585251,-1.9974906,0.85571426,t17_f5_c3,0.9999038,17.7806,0.139,443120347.0,True,False,False,27.5.6,0.0,
ztf,60872.37765049981,3118377654715015006,3,3118377654715,19.383936,1,3118,2.3671935,17.946175,17.9488,0.06711766,0.1216,331.0585131,-1.9974687,0.88857144,t17_f5_c3,0.9999669,18.0546,0.1696,443120347.0,True,False,False,27.5.6,0.0,
ztf,60872.42053239979,3118420534715015004,2,3118420534715,19.160904,1,3118,2.188739,17.313002,17.2649,0.04844837,0.0563,331.0585083,-1.9974644,0.87714285,t17_f5_c3,0.9996178,17.2548,0.0708,443120247.0,True,False,False,27.5.6,0.0,
ztf,60872.421481499914,3118421484715015008,2,3118421484715,19.323458,1,3118,2.1548097,17.320248,17.4644,0.047402874,0.0681,331.0585402,-1.997488,0.9357143,t17_f5_c3,0.9999992,17.485,0.0882,443120247.0,True,False,False,27.5.6,0.0,
ztf,60872.441365700215,3118441364715015001,1,3118441364715,19.320692,1,3118,2.2686718,17.418255,17.2905,0.0411397,0.0597,331.0585295,-1.9974777,0.92714286,t17_f5_c3,1.0,17.2765,0.0751,443120147.0,True,False,False,27.5.6,0.0,
ztf,60872.44230319979,3118442304715015002,1,3118442304715,19.347685,1,3118,2.2308593,17.42329,17.3652,0.05798681,0.0634,331.0585443,-1.9974797,0.95428574,t17_f5_c3,0.9999926,17.3353,0.0786,443120147.0,True,False,False,27.5.6,0.0,
ztf,60872.44333329983,3118443334715015003,1,3118443334715,19.380634,1,3118,2.2723148,17.403997,17.3598,0.05119387,0.063,331.0585296,-1.9974796,0.9457143,t17_f5_c3,0.9999999,17.3395,0.0788,443120147.0,True,False,False,27.5.6,0.0,
ztf,60873.34255790012,3119342554715015005,2,3119342554715,19.547197,1,3119,2.1624305,17.318727,17.3444,0.040956,0.0588,331.0585206,-1.9974718,0.94285715,t17_f5_c3,0.9999993,17.3475,0.0746,443120247.0,True,False,False,27.5.6,0.0,
ztf,60873.35968750017,3119359684715015000,3,3119359684715,19.454144,1,3119,2.2814662,17.911097,17.9833,0.074385576,0.1193,331.0585335,-1.997456,0.86142856,t17_f5_c3,0.9995417,18.1127,0.1694,443120347.0,True,False,False,27.5.6,0.0,
ztf,60875.32009259984,3121320094715015005,3,3121320094715,19.838043,1,3121,2.3316138,17.8959,17.9373,0.06653934,0.0754,331.0585255,-1.9974673,0.7828571,t17_f5_c3,0.9999865,17.9788,0.0968,443120347.0,True,False,False,27.5.6,0.0,
ztf,60875.36901619984,3121369014715015008,2,3121369014715,20.453003,1,3121,2.165962,17.380732,17.3714,0.035146005,0.0283,331.0585286,-1.9974831,0.88285714,t17_f5_c3,0.99999654,17.3755,0.0345,443120247.0,True,False,False,27.5.6,0.0,
ztf,60875.37788189994,3121377884715015003,1,3121377884715,20.381372,1,3121,2.3015606,17.688492,17.6631,0.043108456,0.0327,331.0585316,-1.9974957,0.94,t17_f5_c3,0.99997747,17.6607,0.0402,443120147.0,True,False,False,27.5.6,0.0,
ztf,60875.39148150012,3121391484715015006,1,3121391484715,20.419632,1,3121,2.319356,17.68209,17.7147,0.051270816,0.0343,331.0585209,-1.99749,0.9514286,t17_f5_c3,0.99998444,17.7574,0.044,443120147.0,True,False,False,27.5.6,0.0,
ztf,60876.32179399999,3122321794715015004,1,3122321794715,20.44214,1,3122,2.2807364,17.763578,17.7345,0.056173332,0.0333,331.0585204,-1.9974711,0.93857145,t17_f5_c3,0.9999962,17.7244,0.0404,443120147.0,True,False,False,27.5.6,0.0,
ztf,60876.32980319997,3122329804715015007,1,3122329804715,20.483704,1,3122,2.2857432,17.773129,17.767,0.05234607,0.0336,331.058528,-1.9974837,0.94285715,t17_f5_c3,0.9999974,17.7237,0.0396,443120147.0,True,False,False,27.5.6,0.0,
ztf,60876.33074070001,3122330744715015007,1,3122330744715,20.474707,1,3122,2.252133,17.756624,17.7137,0.0540085,0.0321,331.0585285,-1.9974685,0.94,t17_f5_c3,0.9999881,17.7062,0.039,443120147.0,True,False,False,27.5.6,0.0,
ztf,60876.34158559982,3122341584715015004,3,3122341584715,19.882238,1,3122,2.2783048,17.911762,17.9164,0.076481,0.0717,331.0585223,-1.9974387,0.85714287,t17_f5_c3,0.999834,17.9018,0.0873,443120347.0,True,False,False,27.5.6,0.0,
ztf,60876.40655090008,3122406554715015011,2,3122406554715,20.54866,1,3122,2.1563644,17.370035,17.3406,0.039092313,0.0253,331.0585311,-1.9974821,0.88,t17_f5_c3,0.99994516,17.3374,0.0302,443120247.0,True,False,False,27.5.6,0.0,
ztf,60876.407500000205,3122407504715015009,2,3122407504715,20.519785,1,3122,2.1894689,17.401302,17.4035,0.04021956,0.0267,331.0585349,-1.9974959,0.8314286,t17_f5_c3,0.9999918,17.3937,0.0318,443120247.0,True,False,False,27.5.6,0.0,
